ano,mes,valor
2015,9,14.25
2015,10,14.25
2015,11,14.25
2015,12,14.25
2016,1,14.25
2016,2,14.25
2016,3,14.25
2016,4,14.25
2016,5,14.25
2016,6,14.25
2016,7,14.25
2016,8,14.25
2016,9,14.25
2016,10,14.153225806451612
2016,11,14.0
2016,12,13.75
2017,1,13.266129032258064
2017,2,12.839285714285714
2017,3,12.25
2017,4,11.65
2017,5,11.25
2017,6,10.25
2017,7,10.088709677419354
2017,8,9.25
2017,9,8.483333333333333
2017,10,8.10483870967742
2017,11,7.5
2017,12,7.096774193548387
2018,1,7.0
2018,2,6.8125
2018,3,6.669354838709677
2018,4,6.5
2018,5,6.5
2018,6,6.5
2018,7,6.5
2018,8,6.5
2018,9,6.5
2018,10,6.5
2018,11,6.5
2018,12,6.5
2019,1,6.5
2019,2,6.5
2019,3,6.5
2019,4,6.5
2019,5,6.5
2019,6,6.5
2019,7,6.5
2019,8,6.0
2019,9,5.8
2019,10,5.483870967741935
2019,11,5.0
2019,12,4.67741935483871
2020,1,4.5
2020,2,4.293103448275862
2020,3,4.040322580645161
2020,4,3.75
2020,5,3.1451612903225805
2020,6,2.675
2020,7,2.25
2020,8,2.0403225806451615
2020,9,2.0
2020,10,2.0
2020,11,2.0
2020,12,2.0
2021,1,2.0
2021,2,2.0
2021,3,2.338709677419355
2021,4,2.75
2021,5,3.379032258064516
2021,6,3.85
2021,7,4.25
2021,8,5.120967741935484
2021,9,5.516666666666667
2021,10,6.443548387096774
2021,11,7.75
2021,12,8.862903225806452
2022,1,9.25
2022,2,10.642857142857142
2022,3,11.233870967741936
2022,4,11.75
2022,5,12.620967741935484
2022,6,13.0
2022,7,13.25
2022,8,13.701612903225806
2022,9,13.75
2022,10,13.75
2022,11,13.75
2022,12,13.75
2023,1,13.75
2023,2,13.75
2023,3,13.75
2023,4,13.75
2023,5,13.75
2023,6,13.75
2023,7,13.75
2023,8,13.28225806451613
2023,9,13.083333333333334
2023,10,12.75
2023,11,12.266666666666667
2023,12,11.959677419354838
2024,1,11.75
2024,2,11.25
2024,3,11.07258064516129
2024,4,10.75
2024,5,10.564516129032258
2024,6,10.5
2024,7,10.5
2024,8,10.5
2024,9,10.6
2024,10,10.75
2024,11,11.15
2024,12,11.89516129032258
2025,1,12.314516129032258
2025,2,13.25
2025,3,13.637096774193548
2025,4,14.25
2025,5,14.637096774193548
2025,6,14.85
2025,7,15.0
2025,8,15.0
2025,9,15.0
